prices,product_id,product_description,color,department,sub_department,product_type
219.00,459544049,Blouse with a crossover V-neck and thin straps with bead detail. Short sleeves with gathered details and drawstrings. Elasticated waist.,Duck blue,WOMAN,,
169.00,470175657,Belt with multiple metal pieces in a raised flower shape. Metal link pendants. Lobster clasp fastening.,pink gold,WOMAN,,
299.00,471885354,Sleeveless dress with a round neck. Featuring a back vent detail with a frill and crinkle-effect fabric. Elasticated waist. Back fastening with a vent and button.,MARSALA,WOMAN,,
269.00,471816536,"High-waist trousers with front darts. Featuring front pockets and a false welt pocket on the back. Straight leg. Front fastening with zip, inside button and hook.",Blue,WOMAN,,
349.00,468885132,"Cropped, short-sleeve blazer with a lapel collar and shoulder pads. Front flap pockets. Front fastening with a gold button.",Blue,WOMAN,,
219.00,471792256,"Low-rise trousers with false welt pockets on the back. Flared hem. Front zip, inside button and hook fastening.",MARSALA,WOMAN,,
399.00,471792218,Blazer with a lapel collar and long sleeves with shoulder pads. Featuring front flap pockets. Front fastening with a wide belt with a gold buckle and concealed snap button.,MARSALA,WOMAN,,
369.00,452738148,Flat sandal-style shoes with animal print leather and sheepskin. Metallic-effect buckle fastening. Round toe. Sole height: 2 cm. / 0.7″,Multicoloured,WOMAN,,
119.00,470175660,Pack of two textured metal rings with embedded colour resin stones. Size S = 16.5 mm Size M = 17.5 mm,Gold / Silver,WOMAN,,
299.00,464377888,Water- and wind-resistant anorak with thermal insulation for cold climates. Comfort within the specific temperature range for low activity (9º) and moderate activity (-18ºC). High neck with adjustable drawstring hood and long sleeves with inner cuffs. Front pockets with inner fleece lining and zip fastening. Adjustable hem with elasticated drawstrings at the sides. Zip-up front.,Brown,WOMAN,,
219.00,468021736,"High-waist, straight-leg trousers with a double elasticated contrast waistband. Featuring front pockets and a false welt back pocket. Concealed side zip fastening in the seam.",178,WOMAN,,
99.00,463497203,"SLIM FIT - ROUND NECK - REGULAR LENGTH - SHORT SLEEVE Round neck, short sleeve T-shirt. Ribbed fabric.",Chocolate,WOMAN,,
369.00,463055678,Short high neck jacket. Long sleeves finished with buckled cuffs on the shoulder. Front flap pockets. Front zip fastening and snap buttons concealed by a placket.,mid khaki,WOMAN,,
219.00,463523085,High-waist trousers with belt loops. Double pleat detail. Side pockets and mock flap pockets at the back. Wide leg. Front zip and metal hook fastening.,Black,WOMAN,,
299.00,463291221,Blazer crafted in a flowing fabric. Lapel collar and long sleeve with shoulder pads. Thin belt in the same fabric with tie. Front button fastening.,Brown / Ecru,WOMAN,,
99.00,464741540,REGULAR FIT - ROUND NECK - REGULAR LENGTH - SHORT SLEEVE T-shirt made from 100% spun cotton. Round neck and short sleeves. Contrasting slogan detail on the front.,White / Red,WOMAN,,
369.00,452730672,Jacket with a lapel collar and long sleeves with tab cuffs. Front flap pockets. Matching belt detail. Inner lining. Front zip fastening with hidden buttons on the placket.,Green marl,WOMAN,,
