prices,product id,product description,color,department,sub department,product type
75.00,453278190,Fitted short sleeve T-shirt with a round neck. Available in several colours.,0-526,,,
75.00,453278191,Fitted short sleeve T-shirt with a round neck. Available in several colours.,0-526,,,
75.00,467341342,Fitted short sleeve T-shirt with a round neck. Available in several colours.,0-526,,,
169.00,467341360,Boat neck sweatshirt featuring long sleeves with cuffs and exposed shoulders. Print detail. Ribbed trims. Available in several colours.,0-526,,,
189.00,467341345,Sweatshirt made of a modal blend fabric for a very soft feel. High neck with diagonal zip detail and long cuffed sleeves. Available in several colours.,Grey melange,,,
269.00,467511975,Soft leather trainers. Reinforced detail at the back. Lace-up fastening. Available in brown. Sole height: 2 cm. The insole uses Ortholite® technology. This system offers significant benefits for the footwear that incorporates it. Made of polyurethane and rubber for excellent resistance and breathability.,BROWN,,,
149.00,467511990,High-stretch ankle-length leggings that provide comfort without restricting movement. High waist and elastic waistband. Available in several colours.,Brown,,,
149.00,467511997,High-stretch ankle-length leggings that provide comfort without restricting movement. High waist and elastic waistband. Available in several colours.,Brown,,,
189.00,467512002,Round neck sweatshirt featuring long puff sleeves with cuffs. Print detail on the front. Puffy hem. Available in several colours.,Bubblegum pink,,,
75.00,467341337,,Khaki,,,
149.00,467341335,Available in several colours.,Black,,,
189.00,471689856,Mid-rise knit trousers with an elasticated waistband. Straight and wide-leg design. Available in assorted colours.,Brown,,,
189.00,471689855,Mid-rise knit trousers with an elasticated waistband. Straight and wide-leg design. Available in assorted colours.,Brown,,,
189.00,471689854,Mid-rise knit trousers with an elasticated waistband. Straight and wide-leg design. Available in assorted colours.,Brown,,,
189.00,468549756,"Flowing high-waist trousers with belt loops. Featuring front pockets, false welt pockets at the back, a straight-leg design, a removable belt with metal buckle and metal hook, inside button and zip fastening at the front. Available in assorted colours.",Brown,,,
75.00,467568193,Fitted T-shirt made of cotton. Round neck and short sleeves. Print detail on the front.,Black,,,
75.00,467568192,Fitted T-shirt made of cotton. Round neck and short sleeves. Print detail on the front.,Black,,,
149.00,466864589,Sweater made of stretch knit fabric. Boat neck and long cuffed sleeves. Ribbed hem. Available in assorted colours.,Ecru,,,
119.00,466864586,Mid-rise mini shorts made of stretch knit fabric that provides comfort and adaptability. Featuring an elastic waistband and front seam details.,Black,,,
119.00,466773556,Sleeveless fitted bodysuit with a round neck and gathered detail on the side. Available in assorted colours.,Purple,,,
